HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR
Auxerre,Marseille,0,1,9,6,4,2,3,3,3,4,1,1
Rennes,Strasbourg,4,1,13,20,6,2,6,5,1,1,0,0
Lens,Lorient,3,0,9,12,6,3,7,6,2,2,0,0
Lille,Angers,1,0,15,6,4,1,9,2,1,0,0,0
Nantes,Metz,0,2,16,14,4,7,8,5,1,3,0,0
Toulouse,Le Havre,0,0,18,9,2,3,10,2,1,2,0,0
Brest,Lyon,0,0,13,4,3,2,12,2,1,0,0,1
Paris FC,Rennes,0,1,19,10,4,3,8,9,4,2,0,0
Marseille,Brest,3,0,19,4,7,2,6,2,0,1,0,0
Le Havre,Nantes,1,1,17,5,4,2,8,3,3,3,0,0
Monaco,Lens,1,4,16,20,6,12,5,4,1,2,1,0
Lorient,Toulouse,1,1,10,6,2,2,6,4,0,4,0,0
Angers,Auxerre,2,0,9,12,5,5,3,3,2,2,0,0
Metz,Nice,2,1,9,11,2,4,6,3,2,4,0,0
Strasbourg,Lille,2,0,5,7,2,4,1,4,4,3,0,1
Lyon,Paris SG,2,3,9,9,2,4,5,5,5,2,1,0
Nice,Marseille,1,5,15,13,7,11,8,6,2,2,0,0
Lens,Strasbourg,1,0,13,7,5,1,3,1,2,3,1,1
Rennes,Monaco,4,1,17,13,9,3,4,6,0,1,0,1
Paris SG,Le Havre,3,0,31,12,11,4,6,4,2,1,0,0
Auxerre,Lyon,0,0,12,16,5,7,7,11,1,3,0,0
Brest,Metz,3,2,20,7,7,3,6,2,2,3,0,0
Nantes,Lorient,1,1,9,7,1,1,1,1,1,1,0,0
Toulouse,Angers,0,1,25,6,6,2,11,1,1,3,0,0
Lille,Paris FC,4,2,17,6,10,3,9,4,1,2,0,0
Metz,Rennes,0,1,16,9,5,2,6,3,0,0,0,0
Monaco,Paris SG,1,0,10,17,5,4,4,4,3,1,1,0
Paris FC,Auxerre,1,1,11,11,2,3,4,3,2,1,0,0
Marseille,Toulouse,2,2,20,6,5,4,9,1,2,1,0,0
Strasbourg,Brest,1,2,14,7,6,4,5,0,0,3,0,0
Angers,Lens,1,2,7,17,5,6,2,8,1,1,0,0
Le Havre,Lille,0,1,14,8,7,2,6,2,1,3,0,1
Lorient,Nice,3,1,18,9,7,2,3,7,1,2,0,0
Lyon,Nantes,3,0,20,6,8,2,7,0,1,2,0,1
Brest,Monaco,1,0,12,10,4,2,2,3,2,4,1,0
Lille,Marseille,1,0,5,6,2,2,2,5,1,1,0,0
Nantes,Lens,1,2,10,20,4,6,1,12,2,0,0,0
Toulouse,Strasbourg,1,0,6,3,3,0,1,2,3,3,0,0
Paris SG,Rennes,5,0,20,6,9,2,8,6,0,3,0,1
Nice,Angers,0,1,13,8,3,4,4,1,1,1,1,0
Auxerre,Metz,3,1,14,5,7,3,5,3,2,1,0,0
Le Havre,Paris FC,0,0,13,13,2,2,7,2,0,2,0,0
Lorient,Lyon,1,0,14,7,6,4,1,7,2,2,0,1
Angers,Nantes,4,1,20,7,9,4,6,3,1,2,0,0
Rennes,Brest,3,1,9,14,5,7,5,7,2,3,0,0
Metz,Paris SG,2,3,9,14,5,9,4,4,2,1,0,0
Paris FC,Toulouse,0,3,9,7,2,4,7,4,3,1,0,0
Lyon,Le Havre,1,0,18,10,4,4,5,4,2,4,0,0
Auxerre,Lille,3,4,18,8,8,5,10,3,5,2,2,2
Lens,Nice,2,0,15,8,5,4,2,5,0,2,0,0
Strasbourg,Lorient,0,0,12,10,2,2,11,3,1,0,0,0
Marseille,Monaco,1,0,18,18,8,7,3,7,2,1,0,0
Toulouse,Lens,0,3,8,16,2,7,2,8,2,3,1,0
Monaco,Lyon,1,3,6,13,2,9,7,2,2,3,1,0
Nice,Strasbourg,1,1,19,8,6,5,5,7,1,2,0,0
Lille,Rennes,0,2,13,18,3,4,4,7,1,1,1,0
Marseille,Nantes,0,2,11,15,4,9,6,3,2,3,2,0
Brest,Auxerre,2,0,11,10,4,1,7,6,3,2,0,0
Le Havre,Angers,2,1,11,9,6,3,6,6,1,1,0,0
Lorient,Metz,1,1,16,8,5,2,4,4,1,2,0,0
Paris SG,Paris FC,2,1,20,6,6,3,7,1,1,0,0,0
Monaco,Lorient,1,3,14,14,7,4,4,3,1,0,0,0
Paris SG,Lille,3,0,13,7,7,4,4,2,0,1,0,0
Lens,Auxerre,1,0,19,5,7,0,1,5,2,5,0,0
Toulouse,Nice,5,1,22,15,10,6,6,7,1,2,0,0
Angers,Marseille,2,5,7,23,3,11,6,2,1,1,0,0
Strasbourg,Metz,2,1,14,9,6,2,4,1,2,3,0,0
Nantes,Paris FC,1,2,5,10,1,3,1,2,1,3,0,0
Rennes,Le Havre,1,1,19,7,7,4,10,6,1,4,0,0
Lyon,Brest,2,1,19,5,6,2,5,0,2,0,0,1
Auxerre,Paris SG,0,1,8,16,0,8,2,7,0,1,0,0
Rennes,Lorient,0,2,22,6,5,4,9,3,2,0,0,0
Le Havre,Monaco,0,0,7,10,1,2,5,6,0,3,0,0
Marseille,Lens,3,1,10,7,5,2,2,2,0,3,0,0
Nantes,Nice,1,4,20,7,5,4,4,2,2,3,0,0
Brest,Toulouse,0,2,13,8,5,5,3,2,2,3,0,0
Metz,Lyon,2,5,15,13,6,10,6,4,1,0,0,0
Paris FC,Angers,0,0,8,7,1,1,2,1,1,1,0,0
Lille,Strasbourg,1,4,20,15,6,6,8,1,2,2,0,0
Lens,Le Havre,1,0,15,8,3,2,4,3,1,2,0,0
Paris FC,Marseille,2,2,9,18,4,4,4,4,1,4,0,0
Lorient,Nantes,2,1,5,10,4,2,1,4,4,5,0,0
Monaco,Rennes,4,0,14,8,6,4,5,2,1,2,0,0
Lyon,Lille,1,0,4,11,2,4,2,7,1,4,0,0
Angers,Metz,1,0,17,5,7,0,4,3,2,2,0,1
Nice,Brest,2,2,15,12,7,2,6,5,5,3,0,0
Toulouse,Auxerre,0,0,12,8,4,2,5,4,1,2,0,0
Strasbourg,Paris SG,1,2,9,13,4,4,5,6,1,0,0,1
Metz,Lille,0,0,6,16,2,1,1,6,1,1,0,0
Lens,Rennes,3,1,10,14,3,1,4,4,4,2,1,0
Brest,Lorient,2,0,11,13,5,2,7,7,2,0,0,0
Nantes,Lyon,0,1,13,10,2,3,5,4,4,2,0,1
Nice,Monaco,0,0,13,10,3,2,8,6,2,2,0,0
Angers,Toulouse,1,0,12,12,4,5,3,5,3,2,0,0
Auxerre,Paris FC,0,0,12,8,2,4,7,4,1,4,0,0
Le Havre,Strasbourg,2,1,15,10,7,3,9,3,2,1,0,1
Paris SG,Marseille,5,0,22,9,7,3,5,2,2,2,0,0
Rennes,Paris SG,3,1,13,22,4,7,5,8,0,0,0,0
Monaco,Nantes,3,1,12,13,6,2,9,3,5,2,1,0
Marseille,Strasbourg,2,2,10,12,6,4,5,5,4,2,0,0
Lille,Brest,1,1,20,11,5,4,13,1,0,1,0,0
Paris FC,Lens,0,5,11,17,6,6,3,5,2,1,0,0
Le Havre,Toulouse,2,1,5,25,2,9,1,10,1,4,1,0
Lorient,Angers,2,0,8,10,2,3,3,2,0,0,0,0
Metz,Auxerre,1,3,13,14,4,3,4,3,2,3,0,0
Lyon,Nice,2,0,9,10,2,3,8,5,3,1,0,0
Brest,Marseille,2,0,12,17,4,4,3,2,1,4,0,0
Lens,Monaco,2,3,18,10,7,5,7,2,2,1,0,0
Toulouse,Paris FC,1,1,23,5,10,2,12,3,1,5,0,0
Paris SG,Metz,3,0,17,3,7,0,4,1,0,2,0,0
Auxerre,Rennes,0,3,11,12,2,7,4,5,1,4,0,0
Angers,Lille,0,1,6,14,2,5,1,7,3,1,0,0
Nantes,Le Havre,2,0,9,6,2,1,5,6,4,3,0,0
Nice,Lorient,3,3,8,17,4,5,3,7,2,3,0,0
Strasbourg,Lyon,3,1,13,4,7,2,4,2,1,2,0,0
Strasbourg,Lens,1,1,8,25,5,5,2,8,2,2,0,0
Rennes,Toulouse,1,0,10,9,2,2,6,1,1,3,0,0
Monaco,Angers,2,0,10,6,4,2,5,2,0,3,0,0
Le Havre,Paris SG,0,1,10,22,2,9,3,3,3,0,0,0
Paris FC,Nice,1,0,16,11,6,3,8,6,6,3,1,0
Lille,Nantes,1,0,9,3,3,1,4,1,3,1,0,0
Lorient,Auxerre,2,2,15,10,5,3,3,7,1,3,0,0
Metz,Brest,0,1,24,6,6,1,12,4,2,1,0,1
Marseille,Lyon,3,2,18,12,7,6,8,1,3,2,0,0
Paris SG,Monaco,1,3,20,11,6,6,7,3,1,3,0,0
Nantes,Angers,0,1,13,11,3,4,3,4,1,1,0,0
Auxerre,Strasbourg,0,0,10,13,4,5,5,4,1,2,0,0
Toulouse,Marseille,0,1,12,10,2,3,4,2,2,3,0,0
Lens,Metz,3,0,24,5,7,0,6,4,0,3,0,0
Brest,Le Havre,2,0,11,14,2,0,1,3,3,1,0,0
Lille,Lorient,1,1,12,9,2,5,5,1,4,1,0,0
Nice,Rennes,0,4,14,12,2,6,7,1,2,1,0,0
Lyon,Paris FC,1,1,14,14,4,4,8,2,2,0,0,0
Marseille,Auxerre,1,0,16,8,3,3,9,2,4,2,0,0
Lorient,Lens,2,1,6,20,3,6,1,10,2,3,0,0
Angers,Nice,0,2,11,12,1,8,7,6,1,3,0,0
Monaco,Brest,2,0,10,13,4,1,3,8,2,1,0,0
Strasbourg,Paris FC,0,0,12,11,3,2,12,4,1,0,0,0
Le Havre,Lyon,0,0,12,13,4,4,2,2,1,3,1,0
Metz,Toulouse,3,4,17,19,8,6,4,4,0,3,0,0
Rennes,Lille,1,2,12,8,4,3,5,2,2,5,0,0
Lens,Angers,5,1,26,16,9,5,7,3,0,0,0,0
Toulouse,Lorient,1,0,12,7,4,2,1,4,2,3,0,0
Auxerre,Brest,3,0,11,9,7,2,6,3,0,4,1,0
Nice,Paris SG,0,4,6,17,1,10,2,5,0,1,1,0
Lyon,Monaco,1,2,15,21,4,7,2,6,1,3,1,0
Marseille,Lille,1,2,14,11,3,4,6,4,1,3,0,0
Paris FC,Le Havre,3,2,15,20,4,6,9,5,0,1,1,0
Rennes,Metz,0,0,25,7,8,2,8,2,1,3,0,0
Nantes,Strasbourg,2,3,14,13,9,9,3,6,3,3,0,0
