HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR
Cremonese,Juventus,1,2,9,15,2,5,2,3,1,0,0,0
Verona,Inter,1,2,8,21,2,6,4,8,2,1,0,0
Fiorentina,Lecce,0,1,15,11,4,4,4,4,4,1,0,0
Torino,Pisa,2,2,15,11,3,3,4,2,2,1,0,0
Parma,Bologna,1,3,7,22,1,6,1,5,3,2,1,0
Milan,Roma,1,0,17,20,8,6,7,8,1,5,0,0
Sassuolo,Genoa,1,2,13,16,4,5,3,7,1,3,0,0
Lazio,Cagliari,2,0,8,17,3,5,7,5,0,2,0,0
Pisa,Cremonese,1,0,14,13,6,3,4,5,4,2,0,0
Como,Cagliari,0,0,10,4,6,2,10,0,3,1,0,0
Lecce,Verona,0,0,11,5,6,2,7,2,1,4,0,0
Juventus,Torino,0,0,22,8,6,3,6,2,0,1,0,0
Parma,Milan,2,2,14,10,4,5,4,3,1,1,0,0
Atalanta,Sassuolo,0,3,14,8,2,4,4,1,0,2,0,0
Bologna,Napoli,2,0,11,4,4,1,5,4,1,3,0,0
Genoa,Fiorentina,2,2,10,7,6,3,3,7,2,3,0,0
Roma,Udinese,2,0,13,10,4,4,3,4,2,1,0,0
Inter,Lazio,2,0,8,8,3,5,3,1,3,1,0,0
Cagliari,Genoa,3,3,11,13,5,8,6,2,4,3,0,1
Udinese,Bologna,0,3,12,10,3,5,7,2,0,1,0,0
Fiorentina,Juventus,1,1,11,17,2,4,7,3,2,3,0,0
Napoli,Atalanta,3,1,11,14,6,3,5,3,1,2,0,0
Verona,Parma,1,2,10,15,2,7,4,4,4,3,0,0
Cremonese,Roma,1,3,9,12,4,6,3,5,2,2,0,0
Lazio,Lecce,2,0,19,5,9,1,8,2,1,1,0,0
Inter,Milan,0,1,20,7,6,3,9,1,1,2,0,0
Torino,Como,1,5,10,15,2,7,3,4,0,1,0,0
Sassuolo,Pisa,2,2,22,10,7,3,5,2,2,1,0,0
Como,Sassuolo,2,0,18,12,13,5,4,4,2,1,0,0
Genoa,Verona,2,1,15,13,4,5,2,3,1,3,0,0
Parma,Udinese,0,2,17,14,2,5,5,9,1,2,1,1
Juventus,Cagliari,2,1,14,5,6,3,1,6,1,5,0,0
Milan,Lazio,1,0,16,9,4,4,1,4,3,3,0,0
Lecce,Torino,2,1,10,15,2,6,6,6,2,3,0,0
Pisa,Inter,0,2,10,14,2,3,4,6,2,1,0,0
Atalanta,Fiorentina,2,0,21,15,9,3,4,5,1,3,0,0
Roma,Napoli,0,1,8,8,2,5,4,2,4,3,0,0
Bologna,Cremonese,1,3,29,10,7,5,13,8,0,2,0,0
Sassuolo,Fiorentina,3,1,13,9,5,1,7,1,2,3,0,0
Inter,Como,4,0,11,15,7,3,7,4,1,2,0,0
Verona,Atalanta,3,1,12,12,7,5,5,5,2,1,0,0
Cremonese,Lecce,2,0,11,9,4,1,5,5,1,2,0,0
